,0
anglez_diffabs_diff_51,114
anglez_diff_51,140
anglez_std_60,147
enmo_mad_60,151
anglez_mad_60,152
anglezabs_diff_51,212
anglez_diff_median_51,265
enmo,307
enmo_prev_600_diff,314
amount_of_movement_0.6_in_last_120,315
enmo_mean_60,396
anglez_prev_600_diff,470
amount_of_movement_0.9_in_last_600,474
anglez_x_enmo_amplit_51,482
enmo_max_51,496
enmo_x_lids_max_51,529
anglez_min_51,583
anglez_x_enmo_mad_51,624
anglez_x_lids_mad_51,653
enmo_min_60,671
anglez_diff_max_51,702
enmo_x_lids_mad_51,715
anglez_x_enmo_max_51,721
anglez_x_lids_amplit_51,809
anglez_x_enmo_min_51,864
anglez_mad_51,881
anglez_x_enmo_mean_51,979
enmo_diff_mad_51,1004
anglez_diff_min_51,1016
enmo_median_51,1101
enmo_x_lids_diff_51_max,1142
lids_mad_60,1165
anglez_x_enmo_median_51,1179
enmo_diff_51_max,1195
anglezabs,1276
anglezabs_min_51,1286
anglez,1328
enmo_x_lids_min_51,1337
anglez_diff_mad_51,1361
amount_of_movement_0.99_in_last_2000,1391
anglez_max_51,1486
anglez_x_lids_max_51,1489
anglez_x_enmo_diff_51_max,1537
anglez_x_lids_min_51,1572
entropy_200_lids,1718
amount_of_movement_0.9_in_last_2000,1807
entropy_200_anglez,1813
lids,2183
anglez_diff_diff_51_max,2230
anglezabs_max_51,2290
entropy_20_anglez,2549
hour,2954
entropy_20_lids,3135
signal_awake,3329
signal_onset,3546
entropy_200_enmo,3587
log_steps_to_next_0.9,4144
log_steps_to_next_0.99,4970
steps_to_next_0.9,6558
steps_to_next_0.99,8156
